1028,zh-tw,Chinese - Taiwan,CHT
1029,cs-CZ,Czech,CSY
1030,da-DK,Danish,DAN
1031,de-DE,German - Standard,DEU
1035,fi-FI,Finnish,FIN
1036,fr-FR,French - Standard,FRA
1040,it-IT,Italian - Standard,ITA
1041,ja-JP,Japanese,JPN
1042,ko-KR,Korean,KOR
1043,nl-NL,Dutch,NLD
1044,nb-NO,Norwegian - Bokmål,NOR
1046,pt-br,Portuguese - Brazil,PTB
1053,sv-SE,Swedish,SVE
2052,zh-cn,Chinese - PRC,CHS
2070,pt-PT,Portuguese - Standard,PTG
